"0.2, 0.3, 0.4, 0.25, 0.35"
"0.25, 0.28, 0.38, 0.2, 0.3"
"0.22, 0.29, 0.41, 0.18, 0.32"
"0.18, 0.32, 0.39, 0.15, 0.33"
"0.21, 0.35, 0.42, 0.22, 0.28"
"0.24, 0.26, 0.37, 0.19, 0.31"
"0.19, 0.31, 0.43, 0.21, 0.27"
"0.23, 0.27, 0.36, 0.17, 0.34"
"0.27, 0.34, 0.39, 0.23, 0.25"
"0.26, 0.25, 0.33, 0.16, 0.36"
"0.2, 0.3, 0.4, 0.25, 0.35"
"0.25, 0.28, 0.38, 0.2, 0.3"
"0.22, 0.29, 0.41, 0.18, 0.32"
"0.18, 0.32, 0.39, 0.15, 0.33"
"0.21, 0.35, 0.42, 0.22, 0.28"
"0.24, 0.26, 0.37, 0.19, 0.31"
"0.19, 0.31, 0.43, 0.21, 0.27"
"0.23, 0.27, 0.36, 0.17, 0.34"
"0.27, 0.34, 0.39, 0.23, 0.25"
"0.26, 0.25, 0.33, 0.16, 0.36"
"0.2, 0.3, 0.4, 0.25, 0.35"
"0.25, 0.28, 0.38, 0.2, 0.3"
"0.22, 0.29, 0.41, 0.18, 0.32"
"0.18, 0.32, 0.39, 0.15, 0.33"
"0.21, 0.35, 0.42, 0.22, 0.28"
"0.24, 0.26, 0.37, 0.19, 0.31"
"0.19, 0.31, 0.43, 0.21, 0.27"
"0.23, 0.27, 0.36, 0.17, 0.34"
"0.27, 0.34, 0.39, 0.23, 0.25"
"0.26, 0.25, 0.33, 0.16, 0.36"
"0.2, 0.3, 0.4, 0.25, 0.35"
"0.25, 0.28, 0.38, 0.2, 0.3"
"0.22, 0.29, 0.41, 0.18, 0.32"
"0.18, 0.32, 0.39, 0.15, 0.33"
"0.21, 0.35, 0.42, 0.22, 0.28"
"0.24, 0.26, 0.37, 0.19, 0.31"
"0.19, 0.31, 0.43, 0.21, 0.27"
"0.23, 0.27, 0.36, 0.17, 0.34"
"0.27, 0.34, 0.39, 0.23, 0.25"
"0.26, 0.25, 0.33, 0.16, 0.36"
"0.2, 0.3, 0.4, 0.25, 0.35"
"0.25, 0.28, 0.38, 0.2, 0.3"
"0.22, 0.29, 0.41, 0.18, 0.32"
"0.18, 0.32, 0.39, 0.15, 0.33"
"0.21, 0.35, 0.42, 0.22, 0.28"
"0.24, 0.26, 0.37, 0.19, 0.31"
"0.19, 0.31, 0.43, 0.21, 0.27"
"0.23, 0.27, 0.36, 0.17, 0.34"
"0.27, 0.34, 0.39, 0.23, 0.25"
"0.26, 0.25, 0.33, 0.16, 0.36"
"0.2, 0.3, 0.4, 0.25, 0.35"
"0.25, 0.28, 0.38, 0.2, 0.3"
"0.22, 0.29, 0.41, 0.18, 0.32"
"0.18, 0.32, 0.39, 0.15, 0.33"
"0.21, 0.35, 0.42, 0.22, 0.28"
"0.24, 0.26, 0.37, 0.19, 0.31"
"0.19, 0.31, 0.43, 0.21, 0.27"
"0.23, 0.27, 0.36, 0.17, 0.34"
"0.27, 0.34, 0.39, 0.23, 0.25"
"0.26, 0.25, 0.33, 0.16, 0.36"
"0.2, 0.3, 0.4, 0.25, 0.35"
"0.25, 0.28, 0.38, 0.2, 0.3"
"0.22, 0.29, 0.41, 0.18, 0.32"